Date,Start_Time,Usage_KWH
02/09/2023,0:00,1.433
02/09/2023,0:15,1.485
02/09/2023,0:30,1.471
02/09/2023,0:45,1.437
02/09/2023,1:00,1.459
02/09/2023,1:15,1.462
02/09/2023,1:30,1.486
02/09/2023,1:45,1.465
02/09/2023,2:00,1.487
02/09/2023,2:15,1.462
02/09/2023,2:30,1.463
02/09/2023,2:45,1.482
02/09/2023,3:00,1.471
02/09/2023,3:15,1.458
02/09/2023,3:30,1.428
02/09/2023,3:45,1.495
02/09/2023,4:00,1.417
02/09/2023,4:15,1.447
02/09/2023,4:30,1.464
02/09/2023,4:45,1.441
02/09/2023,5:00,1.429
02/09/2023,5:15,1.466
02/09/2023,5:30,1.454
02/09/2023,5:45,1.433
02/09/2023,6:00,1.497
02/09/2023,6:15,1.45
02/09/2023,6:30,1.441
02/09/2023,6:45,1.3
02/09/2023,7:00,0.932
02/09/2023,7:15,0.942
02/09/2023,7:30,1.38
02/09/2023,7:45,1.446
02/09/2023,8:00,1.475
02/09/2023,8:15,1.494
02/09/2023,8:30,1.513
02/09/2023,8:45,1.487
02/09/2023,9:00,1.739
02/09/2023,9:15,1.534
02/09/2023,9:30,1.527
02/09/2023,9:45,1.647
02/09/2023,10:00,1.565
02/09/2023,10:15,1.566
02/09/2023,10:30,1.571
02/09/2023,10:45,1.555
02/09/2023,11:00,1.514
02/09/2023,11:15,1.597
02/09/2023,11:30,1.568
02/09/2023,11:45,1.598
02/09/2023,12:00,1.545
02/09/2023,12:15,1.618
02/09/2023,12:30,1.598
02/09/2023,12:45,1.634
02/09/2023,13:00,1.589
02/09/2023,13:15,1.589
02/09/2023,13:30,1.667
02/09/2023,13:45,1.606
02/09/2023,14:00,1.497
02/09/2023,14:15,1.472
02/09/2023,14:30,1.45
02/09/2023,14:45,1.457
02/09/2023,15:00,1.513
02/09/2023,15:15,1.463
02/09/2023,15:30,1.51
02/09/2023,15:45,1.497
02/09/2023,16:00,1.551
02/09/2023,16:15,1.533
02/09/2023,16:30,1.547
02/09/2023,16:45,1.533
02/09/2023,17:00,1.522
02/09/2023,17:15,1.501
02/09/2023,17:30,1.503
02/09/2023,17:45,1.481
02/09/2023,18:00,1.602
02/09/2023,18:15,1.77
02/09/2023,18:30,1.719
02/09/2023,18:45,1.717
02/09/2023,19:00,1.731
02/09/2023,19:15,1.717
02/09/2023,19:30,1.443
02/09/2023,19:45,0.943
02/09/2023,20:00,0.754
02/09/2023,20:15,0.897
02/09/2023,20:30,1.179
02/09/2023,20:45,2.082
02/09/2023,21:00,2.074
02/09/2023,21:15,2.161
02/09/2023,21:30,1.66
02/09/2023,21:45,1.71
02/09/2023,22:00,1.655
02/09/2023,22:15,2.286
02/09/2023,22:30,2.446
02/09/2023,22:45,1.986
02/09/2023,23:00,1.558
02/09/2023,23:15,1.886
02/09/2023,23:30,1.925
02/09/2023,23:45,1.8
03/09/2023,0:00,2.013
03/09/2023,0:15,1.7
03/09/2023,0:30,1.715
03/09/2023,0:45,1.67
03/09/2023,1:00,1.647
03/09/2023,1:15,1.572
03/09/2023,1:30,1.408
03/09/2023,1:45,1.359
03/09/2023,2:00,0.748
03/09/2023,2:15,0.552
03/09/2023,2:30,0.451
03/09/2023,2:45,0.481
03/09/2023,3:00,0.539
03/09/2023,3:15,0.556
03/09/2023,3:30,0.391
03/09/2023,3:45,0.459
03/09/2023,4:00,0.446
03/09/2023,4:15,0.458
03/09/2023,4:30,0.402
03/09/2023,4:45,0.349
03/09/2023,5:00,0.392
03/09/2023,5:15,0.413
03/09/2023,5:30,0.36
03/09/2023,5:45,0.351
03/09/2023,6:00,0.386
03/09/2023,6:15,0.349
03/09/2023,6:30,0.414
03/09/2023,6:45,0.381
03/09/2023,7:00,0.446
03/09/2023,7:15,0.599
03/09/2023,7:30,0.573
03/09/2023,7:45,0.562
03/09/2023,8:00,1.25
03/09/2023,8:15,0.754
03/09/2023,8:30,0.634
03/09/2023,8:45,1.163
03/09/2023,9:00,2.186
03/09/2023,9:15,1.767
03/09/2023,9:30,1.604
03/09/2023,9:45,1.316
03/09/2023,10:00,1.264
03/09/2023,10:15,1.305
03/09/2023,10:30,1.247
03/09/2023,10:45,1.165
03/09/2023,11:00,0.58
03/09/2023,11:15,0.24
03/09/2023,11:30,0.241
03/09/2023,11:45,0.382
03/09/2023,12:00,1.294
03/09/2023,12:15,1.435
03/09/2023,12:30,1.462
03/09/2023,12:45,1.229
03/09/2023,13:00,0.717
03/09/2023,13:15,0.686
03/09/2023,13:30,0.768
03/09/2023,13:45,0.55
03/09/2023,14:00,0.839
03/09/2023,14:15,1.146
03/09/2023,14:30,0.923
03/09/2023,14:45,1.211
03/09/2023,15:00,1.02
03/09/2023,15:15,1.374
03/09/2023,15:30,1.404
03/09/2023,15:45,1.38
03/09/2023,16:00,1.813
03/09/2023,16:15,2.17
03/09/2023,16:30,2.028
03/09/2023,16:45,1.555
03/09/2023,17:00,1.464
03/09/2023,17:15,1.361
03/09/2023,17:30,1.677
03/09/2023,17:45,1.595
03/09/2023,18:00,1.266
03/09/2023,18:15,1.259
03/09/2023,18:30,1.694
03/09/2023,18:45,1.643
03/09/2023,19:00,1.114
03/09/2023,19:15,1.012
03/09/2023,19:30,0.595
03/09/2023,19:45,0.658
03/09/2023,20:00,0.549
03/09/2023,20:15,0.619
03/09/2023,20:30,0.579
03/09/2023,20:45,0.681
03/09/2023,21:00,0.611
03/09/2023,21:15,0.691
03/09/2023,21:30,0.651
03/09/2023,21:45,0.67
03/09/2023,22:00,0.971
03/09/2023,22:15,0.927
03/09/2023,22:30,1.498
03/09/2023,22:45,1.628
03/09/2023,23:00,1.763
03/09/2023,23:15,1.511
03/09/2023,23:30,1.498
03/09/2023,23:45,1.462
04/09/2023,0:00,1.459
04/09/2023,0:15,1.421
04/09/2023,0:30,1.289
04/09/2023,0:45,1.123
04/09/2023,1:00,0.47
04/09/2023,1:15,0.463
04/09/2023,1:30,0.494
04/09/2023,1:45,0.452
04/09/2023,2:00,0.474
04/09/2023,2:15,0.478
04/09/2023,2:30,0.525
04/09/2023,2:45,0.433
04/09/2023,3:00,0.36
04/09/2023,3:15,0.401
04/09/2023,3:30,0.396
04/09/2023,3:45,0.384
04/09/2023,4:00,0.427
04/09/2023,4:15,0.407
04/09/2023,4:30,0.372
04/09/2023,4:45,0.411
04/09/2023,5:00,0.386
04/09/2023,5:15,0.427
04/09/2023,5:30,0.358
04/09/2023,5:45,0.344
04/09/2023,6:00,0.435
04/09/2023,6:15,0.376
04/09/2023,6:30,0.355
04/09/2023,6:45,0.331
04/09/2023,7:00,0.559
04/09/2023,7:15,0.618
04/09/2023,7:30,0.87
04/09/2023,7:45,0.547
04/09/2023,8:00,0.654
04/09/2023,8:15,0.452
04/09/2023,8:30,0.467
04/09/2023,8:45,0.434
04/09/2023,9:00,1.217
04/09/2023,9:15,1.135
04/09/2023,9:30,0.553
04/09/2023,9:45,0.832
04/09/2023,10:00,1.191
04/09/2023,10:15,1.052
04/09/2023,10:30,1.128
04/09/2023,10:45,1.144
04/09/2023,11:00,1.215
04/09/2023,11:15,1.349
04/09/2023,11:30,1.305
04/09/2023,11:45,1.433
04/09/2023,12:00,1.459
04/09/2023,12:15,1.357
04/09/2023,12:30,1.367
04/09/2023,12:45,1.343
04/09/2023,13:00,1.315
04/09/2023,13:15,1.675
04/09/2023,13:30,1.852
04/09/2023,13:45,1.966
04/09/2023,14:00,1.841
04/09/2023,14:15,1.607
04/09/2023,14:30,1.467
04/09/2023,14:45,1.497
04/09/2023,15:00,1.538
04/09/2023,15:15,1.601
04/09/2023,15:30,1.536
04/09/2023,15:45,1.769
04/09/2023,16:00,1.78
04/09/2023,16:15,1.72
04/09/2023,16:30,1.819
04/09/2023,16:45,1.721
04/09/2023,17:00,1.757
04/09/2023,17:15,1.673
04/09/2023,17:30,1.548
04/09/2023,17:45,1.444
04/09/2023,18:00,1.835
04/09/2023,18:15,1.739
04/09/2023,18:30,1.867
04/09/2023,18:45,1.881
04/09/2023,19:00,1.059
04/09/2023,19:15,0.799
04/09/2023,19:30,0.738
04/09/2023,19:45,0.675
04/09/2023,20:00,0.653
04/09/2023,20:15,0.644
04/09/2023,20:30,0.626
04/09/2023,20:45,0.663
04/09/2023,21:00,0.674
04/09/2023,21:15,0.749
04/09/2023,21:30,0.718
04/09/2023,21:45,0.696
04/09/2023,22:00,0.692
04/09/2023,22:15,0.601
04/09/2023,22:30,0.643
04/09/2023,22:45,0.549
04/09/2023,23:00,0.484
04/09/2023,23:15,0.458
04/09/2023,23:30,0.507
04/09/2023,23:45,0.454
05/09/2023,0:00,0.421
05/09/2023,0:15,0.491
05/09/2023,0:30,0.471
05/09/2023,0:45,0.483
05/09/2023,1:00,0.446
05/09/2023,1:15,0.377
05/09/2023,1:30,0.379
05/09/2023,1:45,0.352
05/09/2023,2:00,0.372
05/09/2023,2:15,0.397
05/09/2023,2:30,0.382
05/09/2023,2:45,0.417
05/09/2023,3:00,0.399
05/09/2023,3:15,0.454
05/09/2023,3:30,0.406
05/09/2023,3:45,0.367
05/09/2023,4:00,0.415
05/09/2023,4:15,0.395
05/09/2023,4:30,0.406
05/09/2023,4:45,0.409
05/09/2023,5:00,0.391
05/09/2023,5:15,0.363
05/09/2023,5:30,0.354
05/09/2023,5:45,0.397
05/09/2023,6:00,0.428
05/09/2023,6:15,0.379
05/09/2023,6:30,0.386
05/09/2023,6:45,0.48
05/09/2023,7:00,0.56
05/09/2023,7:15,0.541
05/09/2023,7:30,0.876
05/09/2023,7:45,0.64
05/09/2023,8:00,0.516
05/09/2023,8:15,0.438
05/09/2023,8:30,0.454
05/09/2023,8:45,0.73
05/09/2023,9:00,1.446
05/09/2023,9:15,1.151
05/09/2023,9:30,1.223
05/09/2023,9:45,2.249
05/09/2023,10:00,4.051
05/09/2023,10:15,4.136
05/09/2023,10:30,4.44
05/09/2023,10:45,4.944
05/09/2023,11:00,4.69
05/09/2023,11:15,4.658
05/09/2023,11:30,4.574
05/09/2023,11:45,4.367
05/09/2023,12:00,3.892
05/09/2023,12:15,4.026
05/09/2023,12:30,4.502
05/09/2023,12:45,4.419
05/09/2023,13:00,2.898
05/09/2023,13:15,1.447
05/09/2023,13:30,1.466
05/09/2023,13:45,1.508
05/09/2023,14:00,1.484
05/09/2023,14:15,1.461
05/09/2023,14:30,1.484
05/09/2023,14:45,1.48
05/09/2023,15:00,1.407
