Unix_Timestamp,Usage_KWH
1693612800,1.433
1693613700,1.485
1693614600,1.471
1693615500,1.437
1693616400,1.459
1693617300,1.462
1693618200,1.486
1693619100,1.465
1693620000,1.487
1693620900,1.462
1693621800,1.463
1693622700,1.482
1693623600,1.471
1693624500,1.458
1693625400,1.428
1693626300,1.495
1693627200,1.417
1693628100,1.447
1693629000,1.464
1693629900,1.441
1693630800,1.429
1693631700,1.466
1693632600,1.454
1693633500,1.433
1693634400,1.497
1693635300,1.45
1693636200,1.441
1693637100,1.3
1693638000,0.932
1693638900,0.942
1693639800,1.38
1693640700,1.446
1693641600,1.475
1693642500,1.494
1693643400,1.513
1693644300,1.487
1693645200,1.739
1693646100,1.534
1693647000,1.527
1693647900,1.647
1693648800,1.565
1693649700,1.566
1693650600,1.571
1693651500,1.555
1693652400,1.514
1693653300,1.597
1693654200,1.568
1693655100,1.598
1693656000,1.545
1693656900,1.618
1693657800,1.598
1693658700,1.634
1693659600,1.589
1693660500,1.589
1693661400,1.667
1693662300,1.606
1693663200,1.497
1693664100,1.472
1693665000,1.45
1693665900,1.457
1693666800,1.513
1693667700,1.463
1693668600,1.51
1693669500,1.497
1693670400,1.551
1693671300,1.533
1693672200,1.547
1693673100,1.533
1693674000,1.522
1693674900,1.501
1693675800,1.503
1693676700,1.481
1693677600,1.602
1693678500,1.77
1693679400,1.719
1693680300,1.717
1693681200,1.731
1693682100,1.717
1693683000,1.443
1693683900,0.943
1693684800,0.754
1693685700,0.897
1693686600,1.179
1693687500,2.082
1693688400,2.074
1693689300,2.161
1693690200,1.66
1693691100,1.71
1693692000,1.655
1693692900,2.286
1693693800,2.446
1693694700,1.986
1693695600,1.558
1693696500,1.886
1693697400,1.925
1693698300,1.8
1693699200,2.013
1693700100,1.7
1693701000,1.715
1693701900,1.67
1693702800,1.647
1693703700,1.572
1693704600,1.408
1693705500,1.359
1693706400,0.748
1693707300,0.552
1693708200,0.451
1693709100,0.481
1693710000,0.539
1693710900,0.556
1693711800,0.391
1693712700,0.459
1693713600,0.446
1693714500,0.458
1693715400,0.402
1693716300,0.349
1693717200,0.392
1693718100,0.413
1693719000,0.36
1693719900,0.351
1693720800,0.386
1693721700,0.349
1693722600,0.414
1693723500,0.381
1693724400,0.446
1693725300,0.599
1693726200,0.573
1693727100,0.562
1693728000,1.25
1693728900,0.754
1693729800,0.634
1693730700,1.163
1693731600,2.186
1693732500,1.767
1693733400,1.604
1693734300,1.316
1693735200,1.264
1693736100,1.305
1693737000,1.247
1693737900,1.165
1693738800,0.58
1693739700,0.24
1693740600,0.241
1693741500,0.382
1693742400,1.294
1693743300,1.435
1693744200,1.462
1693745100,1.229
1693746000,0.717
1693746900,0.686
1693747800,0.768
1693748700,0.55
1693749600,0.839
1693750500,1.146
1693751400,0.923
1693752300,1.211
1693753200,1.02
1693754100,1.374
1693755000,1.404
1693755900,1.38
1693756800,1.813
1693757700,2.17
1693758600,2.028
1693759500,1.555
1693760400,1.464
1693761300,1.361
1693762200,1.677
1693763100,1.595
1693764000,1.266
1693764900,1.259
1693765800,1.694
1693766700,1.643
1693767600,1.114
1693768500,1.012
1693769400,0.595
1693770300,0.658
1693771200,0.549
1693772100,0.619
1693773000,0.579
1693773900,0.681
1693774800,0.611
1693775700,0.691
1693776600,0.651
1693777500,0.67
1693778400,0.971
1693779300,0.927
1693780200,1.498
1693781100,1.628
1693782000,1.763
1693782900,1.511
1693783800,1.498
1693784700,1.462
1693785600,1.459
1693786500,1.421
1693787400,1.289
1693788300,1.123
1693789200,0.47
1693790100,0.463
1693791000,0.494
1693791900,0.452
1693792800,0.474
1693793700,0.478
1693794600,0.525
1693795500,0.433
1693796400,0.36
1693797300,0.401
1693798200,0.396
1693799100,0.384
1693800000,0.427
1693800900,0.407
1693801800,0.372
1693802700,0.411
1693803600,0.386
1693804500,0.427
1693805400,0.358
1693806300,0.344
1693807200,0.435
1693808100,0.376
1693809000,0.355
1693809900,0.331
1693810800,0.559
1693811700,0.618
1693812600,0.87
1693813500,0.547
1693814400,0.654
1693815300,0.452
1693816200,0.467
1693817100,0.434
1693818000,1.217
1693818900,1.135
1693819800,0.553
1693820700,0.832
1693821600,1.191
1693822500,1.052
1693823400,1.128
1693824300,1.144
1693825200,1.215
1693826100,1.349
